frame	label	score	png_path
0	good	-2.09832060	good/good_frame_00000000.png
66	good	-2.09832060	good/good_frame_00000066.png
132	good	0.40827162	good/good_frame_00000132.png
198	good	1.10686415	good/good_frame_00000198.png
264	good	-0.08052187	good/good_frame_00000264.png
330	good	1.48679369	good/good_frame_00000330.png
396	good	1.52715358	good/good_frame_00000396.png
462	good	-0.35304940	good/good_frame_00000462.png
528	good	0.18118790	good/good_frame_00000528.png
594	good	1.33893956	good/good_frame_00000594.png
660	good	2.03306777	good/good_frame_00000660.png
726	good	0.51365944	good/good_frame_00000726.png
792	good	1.03417389	good/good_frame_00000792.png
858	good	0.30558942	good/good_frame_00000858.png
924	good	0.17733588	good/good_frame_00000924.png
991	good	1.14144095	good/good_frame_00000991.png
1057	good	1.82119459	good/good_frame_00001057.png
1123	good	0.20909021	good/good_frame_00001123.png
1189	good	0.27892631	good/good_frame_00001189.png
1255	good	0.35616757	good/good_frame_00001255.png
1321	good	0.70459868	good/good_frame_00001321.png
1387	good	0.46577494	good/good_frame_00001387.png
1453	good	0.58089716	good/good_frame_00001453.png
1519	good	0.97494017	good/good_frame_00001519.png
1585	good	0.38870079	good/good_frame_00001585.png
1651	good	0.61488374	good/good_frame_00001651.png
1717	good	0.48337808	good/good_frame_00001717.png
1783	good	0.07085726	good/good_frame_00001783.png
1849	good	0.06327052	good/good_frame_00001849.png
1916	good	0.48648616	good/good_frame_00001916.png
1982	good	0.12704197	good/good_frame_00001982.png
2048	good	2.54582312	good/good_frame_00002048.png
2114	good	1.30117442	good/good_frame_00002114.png
2180	good	1.77827045	good/good_frame_00002180.png
2246	good	0.84117636	good/good_frame_00002246.png
2312	good	0.29767277	good/good_frame_00002312.png
2378	good	0.39757203	good/good_frame_00002378.png
2444	good	-0.07675697	good/good_frame_00002444.png
2510	good	-0.18070442	good/good_frame_00002510.png
2576	good	-0.23531986	good/good_frame_00002576.png
2642	good	-0.18853961	good/good_frame_00002642.png
2708	good	-0.21576142	good/good_frame_00002708.png
2774	good	0.25443366	good/good_frame_00002774.png
2841	good	0.12944655	good/good_frame_00002841.png
2907	good	1.31307922	good/good_frame_00002907.png
2973	good	-0.13913945	good/good_frame_00002973.png
3039	good	0.11657276	good/good_frame_00003039.png
3105	good	0.80482370	good/good_frame_00003105.png
3171	good	0.51690967	good/good_frame_00003171.png
3237	good	0.48553155	good/good_frame_00003237.png
3303	good	0.83460958	good/good_frame_00003303.png
3369	good	0.30790699	good/good_frame_00003369.png
3435	good	0.86943544	good/good_frame_00003435.png
3501	good	0.16181909	good/good_frame_00003501.png
3567	good	0.72243593	good/good_frame_00003567.png
3633	good	0.59119862	good/good_frame_00003633.png
3699	good	0.33611946	good/good_frame_00003699.png
3766	good	0.40497513	good/good_frame_00003766.png
3832	good	12.15850283	good/good_frame_00003832.png
3898	good	0.96273856	good/good_frame_00003898.png
3964	good	1.70578660	good/good_frame_00003964.png
4030	good	0.29245734	good/good_frame_00004030.png
4096	good	0.72568353	good/good_frame_00004096.png
4162	good	0.57724545	good/good_frame_00004162.png
4228	good	0.81047925	good/good_frame_00004228.png
4294	good	0.49298318	good/good_frame_00004294.png
4360	good	0.91067231	good/good_frame_00004360.png
4426	good	-0.28208335	good/good_frame_00004426.png
4492	good	0.16161256	good/good_frame_00004492.png
4558	good	-0.39129146	good/good_frame_00004558.png
4624	good	2.71450734	good/good_frame_00004624.png
4691	good	1.03653180	good/good_frame_00004691.png
4757	good	0.52805710	good/good_frame_00004757.png
4823	good	0.94785258	good/good_frame_00004823.png
4889	good	0.13725293	good/good_frame_00004889.png
4955	good	0.27412137	good/good_frame_00004955.png
5021	good	0.70847781	good/good_frame_00005021.png
5087	good	0.57196370	good/good_frame_00005087.png
5153	good	0.50712905	good/good_frame_00005153.png
5219	good	-0.27336189	good/good_frame_00005219.png
5285	good	0.44731476	good/good_frame_00005285.png
5351	good	3.97501431	good/good_frame_00005351.png
5417	good	-0.00244571	good/good_frame_00005417.png
5483	good	0.10997140	good/good_frame_00005483.png
5549	good	0.44955326	good/good_frame_00005549.png
5616	good	0.98349061	good/good_frame_00005616.png
5682	good	0.37783258	good/good_frame_00005682.png
5748	good	0.84261951	good/good_frame_00005748.png
5814	good	0.30213691	good/good_frame_00005814.png
5880	good	0.25801511	good/good_frame_00005880.png
5946	good	0.69331106	good/good_frame_00005946.png
6012	good	0.33708691	good/good_frame_00006012.png
6078	good	9.67777455	good/good_frame_00006078.png
6144	good	0.54705794	good/good_frame_00006144.png
6210	good	-0.04252764	good/good_frame_00006210.png
6276	good	0.18771427	good/good_frame_00006276.png
6342	good	2.30463039	good/good_frame_00006342.png
6408	good	2.66568136	good/good_frame_00006408.png
6474	good	0.99557536	good/good_frame_00006474.png
